tick,task,event,value
0,cA,RELEASE,0
0,cB,RELEASE,0
0,cC,RELEASE,0
40,cB,COMPLETE,40
90,cC,COMPLETE,90
100,cA,DEADLINE_MISS,0
150,cB,RELEASE,0
190,cB,COMPLETE,40
250,cC,RELEASE,0
300,cC,COMPLETE,50
300,cA,RELEASE,0
300,cB,RELEASE,0
340,cB,COMPLETE,40
380,cA,COMPLETE,80
450,cB,RELEASE,0
490,cB,COMPLETE,40
500,cC,RELEASE,0
550,cC,COMPLETE,50
600,cA,RELEASE,0
600,cB,RELEASE,0
640,cB,COMPLETE,40
680,cA,COMPLETE,80
750,cB,RELEASE,0
750,cC,RELEASE,0
790,cB,COMPLETE,40
840,cC,COMPLETE,90
900,cA,RELEASE,0
900,cB,RELEASE,0
940,cB,COMPLETE,40
980,cA,COMPLETE,80
1000,cC,RELEASE,0
1050,cC,COMPLETE,50
1050,cB,RELEASE,0
1090,cB,COMPLETE,40
1200,cA,RELEASE,0
1200,cB,RELEASE,0
1240,cB,COMPLETE,40
1250,cC,RELEASE,0
1300,cC,COMPLETE,50
1300,cA,DEADLINE_MISS,0
1350,cB,RELEASE,0
1390,cB,COMPLETE,40
1500,cA,RELEASE,0
1500,cB,RELEASE,0
1500,cC,RELEASE,0
1540,cB,COMPLETE,40
1590,cC,COMPLETE,90
1600,cA,DEADLINE_MISS,0
1650,cB,RELEASE,0
1690,cB,COMPLETE,40
1750,cC,RELEASE,0
1800,cC,COMPLETE,50
1800,cA,RELEASE,0
1800,cB,RELEASE,0
1840,cB,COMPLETE,40
1880,cA,COMPLETE,80
1950,cB,RELEASE,0
1990,cB,COMPLETE,40
2000,cC,RELEASE,0
2050,cC,COMPLETE,50
2100,cA,RELEASE,0
2100,cB,RELEASE,0
2140,cB,COMPLETE,40
2180,cA,COMPLETE,80
2250,cB,RELEASE,0
2250,cC,RELEASE,0
2290,cB,COMPLETE,40
2340,cC,COMPLETE,90
2400,cA,RELEASE,0
2400,cB,RELEASE,0
2440,cB,COMPLETE,40
2480,cA,COMPLETE,80
2500,cC,RELEASE,0
2550,cC,COMPLETE,50
2550,cB,RELEASE,0
2590,cB,COMPLETE,40
2700,cA,RELEASE,0
2700,cB,RELEASE,0
2740,cB,COMPLETE,40
2750,cC,RELEASE,0
2800,cC,COMPLETE,50
2800,cA,DEADLINE_MISS,0
2850,cB,RELEASE,0
2890,cB,COMPLETE,40
